"year","category","winners","nominees"
"1937","Writing (Screenplay)","Pierre Collings, Sheridan Gibney - The Story of Louis Pasteur","Frances Goodrich, Albert Hackett - After the Thin Man, Sidney Howard - Dodsworth, Robert Riskin - Mr. Deeds Goes to Town, Eric Hatch, Morris Ryskind - My Man Godfrey"
"1938","Actor","Spencer Tracy - Captains Courageous","Charles Boyer - Conquest, Fredric March - A Star Is Born, Robert Montgomery - Night Must Fall, Paul Muni - The Life of Emile Zola"
"1938","Actor in a Supporting Role","Joseph Schildkraut - The Life of Emile Zola","Ralph Bellamy - The Awful Truth, Thomas Mitchell - The Hurricane, H. B. Warner - Lost Horizon, Roland Young - Topper"
"1938","Actress","Luise Rainer - The Good Earth","Irene Dunne - The Awful Truth, Greta Garbo - Camille, Janet Gaynor - A Star Is Born, Barbara Stanwyck - Stella Dallas"
"1938","Actress in a Supporting Role","Alice Brady - In Old Chicago","Andrea Leeds - Stage Door, Anne Shirley - Stella Dallas, Claire Trevor - Dead End, Dame May Whitty - Night Must Fall"
"1938","Art Direction","Stephen Goosson - Lost Horizon","Cedric Gibbons, William Horning - Conquest, Carroll Clark - A Damsel in Distress, Richard Day - Dead End, Wiard Ihnen - Every Day's a Holiday, Anton Grot - The Life of Emile Zola, John Victor Mackay - Manhattan Merry-Go-Round, Lyle Wheeler - The Prisoner of Zenda, Hans Dreier, Roland Anderson - Souls at Sea, Alexander Toluboff - Walter Wanger's Vogues of 1938, William S. Darling, David Hall - Wee Willie Winkie, Jack Otterson - You're a Sweetheart"
"1938","Assistant Director","Robert Webb - In Old Chicago","Russ Saunders - The Life of Emile Zola, C. C. Coleman, Jr. - Lost Horizon, Hal Walker - Souls at Sea, Eric Stacey - A Star Is Born"
"1938","Cinematography","Karl Freund - The Good Earth","Gregg Toland - Dead End, Joseph Valentine - Wings over Honolulu"
"1938","Dance Direction","""Fun House"" from ""A Damsel in Distress"" - A Damsel in Distress","""The Finale"" from ""Varsity Show"" - Varsity Show, ""Too Marvelous for Words"" from ""Ready, Willing and Able"" - Ready, Willing and Able, ""All God's Children Got Rhythm"" from ""A Day at the Races"" - A Day at the Races, ""Swing Is Here to Stay"" from ""Ali Baba Goes to Town"" - Ali Baba Goes to Town, ""Prince Igor Suite"" from ""Thin Ice"" - Thin Ice, ""Luau"" from ""Waikiki Wedding"" - Waikiki Wedding"
"1938","Directing","Leo McCarey - The Awful Truth","Sidney Franklin - The Good Earth, William Dieterle - The Life of Emile Zola, Gregory La Cava - Stage Door, William Wellman - A Star Is Born"
"1938","Film Editing","Gene Havlick, Gene Milford - Lost Horizon","Al Clark - The Awful Truth, Elmo Veron - Captains Courageous, Basil Wrangell - The Good Earth, Bernard W. Burton - One Hundred Men and a Girl"
"1938","Irving G. Thalberg Memorial Award","Darryl F. Zanuck",""
"1938","Music (Scoring)","Universal Studio Music Department, Charles Previn, head of department (no composer credit) - One Hundred Men and a Girl","Samuel Goldwyn Studio Music Department, Alfred Newman, head of department (Score by Alfred Newman) - The Hurricane, 20th Century-Fox Studio Music Department, Louis Silvers, head of department (no composer credit) - In Old Chicago, Warner Bros. Studio Music Department, Leo Forbstein, head of department (Score by Max Steiner) - The Life of Emile Zola, Columbia Studio Music Department, Morris Stoloff, head of department (Score by Dimitri Tiomkin) - Lost Horizon, Principal Productions, Dr. Hugo Riesenfeld, musical director (Score by Dr. Hugo Riesenfeld) - Make a Wish, Metro-Goldwyn-Mayer Studio Music Department, Nat W. Finston, head of department (Score by Herbert Stothart) - Maytime, Republic Studio Music Department, Alberto Colombo, head of department (Score by Alberto Colombo) - Portia on Trial, Selznick International Pictures Music Department, Alfred Newman, musical director (Score by Alfred Newman) - The Prisoner of Zenda, RKO Radio Studio Music Department, Roy Webb, musical director (Score by Roy Webb) - Quality Street, Walt Disney Studio Music Department, Leigh Harline, head of department (Score by Frank Churchill, Leigh Harline and Paul J. Smith) - Snow White and the Seven Dwarfs, Grand National Studio Music Department, C. Bakaleinikoff, musical director (Score by Victor Schertzinger) - Something to Sing About, Paramount Studio Music Department, Boris Morros, head of department (Score by W. Franke Harling and Milan Roder) - Souls at Sea, Hal Roach Studio Music Department, Marvin Hatley, head of department (Score by Marvin Hatley) - Way Out West"
"1938","Music (Song)","Sweet Leilani in ""Waikiki Wedding"" Music and Lyrics by Harry Owens - Waikiki Wedding","Remember Me in ""Mr. Dodd Takes the Air"" Music by Harry Warren; Lyrics by Al Dubin - Mr. Dodd Takes the Air, That Old Feeling in ""Walter Wanger's Vogues of 1938"" Music by Sammy Fain; Lyrics by Lew Brown - Walter Wanger's Vogues of 1938, They Can't Take That Away From Me in ""Shall We Dance"" Music by George Gershwin; Lyrics by Ira Gershwin - Shall We Dance, Whispers In The Dark in ""Artists and Models"" Music by Frederick Hollander; Lyrics by Leo Robin - Artists and Models"
"1938","Outstanding Production","Warner Bros. - The Life of Emile Zola","Columbia - The Awful Truth, Metro-Goldwyn-Mayer - Captains Courageous, Samuel Goldwyn Productions - Dead End, Metro-Goldwyn-Mayer - The Good Earth, 20th Century-Fox - In Old Chicago, Columbia - Lost Horizon, Universal - One Hundred Men and a Girl, RKO Radio - Stage Door, Selznick International Pictures - A Star Is Born"
"1938","Short Subject (Cartoon)","Walt Disney, Producer - The Old Mill","Paramount - Educated Fish, Charles Mintz, Producer - The Little Match Girl"
"1938","Short Subject (Color)","Pete Smith, Producer - Penny Wisdom","Warner Bros. - The Man without a Country, Paramount - Popular Science J-7-1"
"1938","Short Subject (One-reel)","Skibo Productions - The Private Life of the Gannets","Metro-Goldwyn-Mayer - A Night at the Movies, Pete Smith, Producer - Romance of Radium"
"1938","Short Subject (Two-reel)","Metro-Goldwyn-Mayer - Torture Money","RKO Radio - Deep South, RKO Radio - Should Wives Work?"
"1938","Sound Recording","United Artists Studio Sound Department, Thomas T. Moulton, Sound Director - The Hurricane","Grand National Studio Sound Department, A. E. Kaye, Sound Director - The Girl Said No, RKO Radio Studio Sound Department, John Aalberg, Sound Director - Hitting a New High, 20th Century-Fox Studio Sound Department, E. H. Hansen, Sound Director - In Old Chicago, Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director - The Life of Emile Zola, Columbia Studio Sound Department, John Livadary, Sound Director - Lost Horizon, Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director - Maytime, Universal Studio Sound Department, Homer G. Tasker, Sound Director - One Hundred Men and a Girl, Hal Roach Studio Sound Department, Elmer A. Raguse, Sound Director - Topper, Paramount Studio Sound Department, Loren L. Ryder, Sound Director - Wells Fargo"
"1938","Special Award","Special Award - A Star Is Born",""
"1938","Writing (Original Story)","William A. Wellman, Robert Carson - A Star Is Born","Robert Lord - Black Legion, Niven Busch - In Old Chicago, Heinz Herald, Geza Herczeg - The Life of Emile Zola, Hans Kraly - One Hundred Men and a Girl"
"1938","Writing (Screenplay)","Norman Reilly Raine, Heinz Herald, Geza Herczeg - The Life of Emile Zola","Vina Delmar - The Awful Truth, John Lee Mahin, Marc Connelly, Dale Van Every - Captains Courageous, Morris Ryskind, Anthony Veiller - Stage Door, Dorothy Parker, Alan Campbell, Robert Carson - A Star Is Born"
"1939","Actor","Spencer Tracy - Boys Town","Charles Boyer - Algiers, James Cagney - Angels with Dirty Faces, Robert Donat - The Citadel, Leslie Howard - Pygmalion"
"1939","Actor in a Supporting Role","Walter Brennan - Kentucky","John Garfield - Four Daughters, Gene Lockhart - Algiers, Robert Morley - Marie Antoinette, Basil Rathbone - If I Were King"
"1939","Actress","Bette Davis - Jezebel","Fay Bainter - White Banners, Wendy Hiller - Pygmalion, Norma Shearer - Marie Antoinette, Margaret Sullavan - Three Comrades"
"1939","Actress in a Supporting Role","Fay Bainter - Jezebel","Beulah Bondi - Of Human Hearts, Billie Burke - Merrily We Live, Spring Byington - You Can't Take It with You, Miliza Korjus - The Great Waltz"
"1939","Art Direction","Carl J. Weyl - The Adventures of Robin Hood","Lyle Wheeler - The Adventures of Tom Sawyer, Bernard Herzbrun, Boris Leven - Alexander's Ragtime Band, Alexander Toluboff - Algiers, Van Nest Polglase - Carefree, Richard Day - The Goldwyn Follies, Stephen Goosson, Lionel Banks - Holiday, Hans Dreier, John Goodman - If I Were King, Jack Otterson - Mad about Music, Cedric Gibbons - Marie Antoinette, Charles D. Hall - Merrily We Live"
"1939","Cinematography","Joseph Ruttenberg - The Great Waltz","James Wong Howe - Algiers, Ernest Miller, Harry Wild - Army Girl, Victor Milner - The Buccaneer, Ernest Haller - Jezebel, Joseph Valentine - Mad about Music, Norbert Brodine - Merrily We Live, Peverell Marley - Suez, Robert de Grasse - Vivacious Lady, Joseph Walker - You Can't Take It with You, Leon Shamroy - The Young in Heart"
"1939","Directing","Frank Capra - You Can't Take It with You","Michael Curtiz - Angels with Dirty Faces, Norman Taurog - Boys Town, King Vidor - The Citadel, Michael Curtiz - Four Daughters"
"1939","Film Editing","Ralph Dawson - The Adventures of Robin Hood","Barbara McLean - Alexander's Ragtime Band, Tom Held - The Great Waltz, Tom Held - Test Pilot, Gene Havlick - You Can't Take It with You"
"1939","Irving G. Thalberg Memorial Award","Hal B. Wallis","Samuel Goldwyn, Joe Pasternak, David O. Selznick, Hunt Stromberg, Walter Wanger, Darryl F. Zanuck"
"1939","Music (Original Score)","Erich Wolfgang Korngold - The Adventures of Robin Hood","Victor Young - Army Girl, Marvin Hatley - Block-Heads, Werner Janssen - Blockade, Victor Young - Breaking the Ice, Alfred Newman - The Cowboy and the Lady, Richard Hageman - If I Were King, Herbert Stothart - Marie Antoinette, Russell Bennett - Pacific Liner, Louis Silvers - Suez, Franz Waxman - The Young in Heart"
"1939","Music (Scoring)","Alfred Newman - Alexander's Ragtime Band","Victor Baravalle - Carefree, Morris Stoloff, Gregory Stone - Girls' School, Alfred Newman - The Goldwyn Follies, Max Steiner - Jezebel, Charles Previn, Frank Skinner - Mad about Music, Cy Feuer - Storm over Bengal, Herbert Stothart - Sweethearts, Marvin Hatley - There Goes My Heart, Boris Morros - Tropic Holiday, Franz Waxman - The Young in Heart"
"1939","Music (Song)","Thanks For The Memory in ""The Big Broadcast of 1938"" Music by Ralph Rainger; Lyrics by Leo Robin - The Big Broadcast of 1938","Always And Always in ""Mannequin"" Music by Edward Ward; Lyrics by Chet Forrest and Bob Wright - Mannequin, Change Partners in ""Carefree"" Music and Lyrics by Irving Berlin - Carefree, The Cowboy And The Lady in ""The Cowboy and the Lady"" Music by Lionel Newman; Lyrics by Arthur Quenzer - The Cowboy and the Lady, Dust in ""Under Western Stars"" Music and Lyrics by Johnny Marvin - Under Western Stars, Jeepers Creepers in ""Going Places"" Music by Harry Warren; Lyrics by Johnny Mercer - Going Places, Merrily We Live in ""Merrily We Live"" Music by Phil Charig; Lyrics by Arthur Quenzer - Merrily We Live, A Mist Over The Moon in ""The Lady Objects"" Music by Ben Oakland; Lyrics by Oscar Hammerstein II - The Lady Objects, My Own in ""That Certain Age"" Music by Jimmy McHugh; Lyrics by Harold Adamson - That Certain Age, Now It Can Be Told in ""Alexander's Ragtime Band"" Music and Lyrics by Irving Berlin - Alexander's Ragtime Band"
"1939","Outstanding Production","Columbia - You Can't Take It with You","Warner Bros.-First National - The Adventures of Robin Hood, 20th Century-Fox - Alexander's Ragtime Band, Metro-Goldwyn-Mayer - Boys Town, Metro-Goldwyn-Mayer - The Citadel, Warner Bros.-First National - Four Daughters, Realization D'Art Cinematographique - Grand Illusion, Warner Bros. - Jezebel, Metro-Goldwyn-Mayer - Pygmalion, Metro-Goldwyn-Mayer - Test Pilot"
"1939","Short Subject (Cartoon)","Walt Disney, Producer - Ferdinand the Bull","Walt Disney, Producer - Brave Little Tailor, Walt Disney, Producer - Good Scouts, Paramount - Hunky and Spunky, Walt Disney, Producer - Mother Goose Goes Hollywood"
"1939","Short Subject (One-reel)","Metro-Goldwyn-Mayer - That Mothers Might Live","Metro-Goldwyn-Mayer - The Great Heart, 20th Century-Fox - Timber Toppers"
"1939","Short Subject (Two-reel)","Warner Bros. - Declaration of Independence","Warner Bros. - Swingtime in the Movies, Metro-Goldwyn-Mayer - They're Always Caught"
"1939","Sound Recording","United Artists Studio Sound Department, Thomas T. Moulton, Sound Director - The Cowboy and the Lady","Republic Studio Sound Department, Charles L. Lootens, Sound Director - Army Girl, Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director - Four Daughters, Paramount Studio Sound Department, Loren L. Ryder, Sound Director - If I Were King, Hal Roach Studio Sound Department, Elmer A. Raguse, Sound Director - Merrily We Live, 20th Century-Fox Studio Sound Department, Edmund H. Hansen, Sound Director - Suez, Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director - Sweethearts, Universal Studio Sound Department, Bernard B. Brown, Sound Director - That Certain Age, RKO Radio Studio Sound Department, John Aalberg, Sound Director - Vivacious Lady, Columbia Studio Sound Department, John Livadary, Sound Director - You Can't Take It with You"
"1939","Special Award","Special Award - Snow White and the Seven Dwarfs, Special Award - Spawn of the North, Special Award - Sweethearts",""
"1939","Writing (Original Story)","Dore Schary, Eleanore Griffin - Boys Town","Irving Berlin - Alexander's Ragtime Band, Rowland Brown - Angels with Dirty Faces, John Howard Lawson - Blockade, Marcella Burke, Frederick Kohner - Mad about Music, Frank Wead - Test Pilot"
"1939","Writing (Screenplay)","Screenplay and Dialogue by George Bernard Shaw; Adaptation by W. P. Lipscomb, Cecil Lewis, Ian Dalrymple - Pygmalion","John Meehan, Dore Schary - Boys Town, Ian Dalrymple, Frank Wead, Elizabeth Hill - The Citadel, Julius J. Epstein, Lenore Coffee - Four Daughters, Robert Riskin - You Can't Take It with You"
"1940","Actor","Robert Donat - Goodbye, Mr. Chips","Clark Gable - Gone with the Wind, Laurence Olivier - Wuthering Heights, Mickey Rooney - Babes in Arms, James Stewart - Mr. Smith Goes to Washington"
"1940","Actor in a Supporting Role","Thomas Mitchell - Stagecoach","Brian Aherne - Juarez, Harry Carey - Mr. Smith Goes to Washington, Brian Donlevy - Beau Geste, Claude Rains - Mr. Smith Goes to Washington"
"1940","Actress","Vivien Leigh - Gone with the Wind","Bette Davis - Dark Victory, Irene Dunne - Love Affair, Greta Garbo - Ninotchka, Greer Garson - Goodbye, Mr. Chips"
"1940","Actress in a Supporting Role","Hattie McDaniel - Gone with the Wind","Olivia de Havilland - Gone with the Wind, Geraldine Fitzgerald - Wuthering Heights, Edna May Oliver - Drums along the Mohawk, Maria Ouspenskaya - Love Affair"
"1940","Art Direction","Lyle Wheeler - Gone with the Wind","Hans Dreier, Robert Odell - Beau Geste, Charles D. Hall - Captain Fury, Jack Otterson, Martin Obzina - First Love, Van Nest Polglase, Al Herman - Love Affair, John Victor Mackay - Man of Conquest, Lionel Banks - Mr. Smith Goes to Washington, Anton Grot - The Private Lives of Elizabeth and Essex, William Darling, George Dudley - The Rains Came, Alexander Toluboff - Stagecoach, Cedric Gibbons, William A. Horning - The Wizard of Oz, James Basevi - Wuthering Heights"
"1940","Cinematography (Black-and-White)","Gregg Toland - Wuthering Heights","Bert Glennon - Stagecoach"
"1940","Cinematography (Color)","Ernest Haller, Ray Rennahan - Gone with the Wind","Sol Polito, W. Howard Greene - The Private Lives of Elizabeth and Essex"
"1940","Directing","Victor Fleming - Gone with the Wind","Sam Wood - Goodbye, Mr. Chips, Frank Capra - Mr. Smith Goes to Washington, John Ford - Stagecoach, William Wyler - Wuthering Heights"
"1940","Film Editing","Hal C. Kern, James E. Newcom - Gone with the Wind","Charles Frend - Goodbye, Mr. Chips, Gene Havlick, Al Clark - Mr. Smith Goes to Washington, Barbara McLean - The Rains Came, Otho Lovering, Dorothy Spencer - Stagecoach"
"1940","Irving G. Thalberg Memorial Award","David O. Selznick",""
"1940","Music (Original Score)","Herbert Stothart - The Wizard of Oz","Max Steiner - Dark Victory, Werner Janssen - Eternally Yours, Victor Young - Golden Boy, Max Steiner - Gone with the Wind, Victor Young - Gulliver's Travels, Lud Gluskin, Lucien Moraweck - The Man in the Iron Mask, Victor Young - Man of Conquest, Anthony Collins - Nurse Edith Cavell, Aaron Copland - Of Mice and Men, Alfred Newman - The Rains Came, Alfred Newman - Wuthering Heights"
"1940","Music (Scoring)","Richard Hageman, Frank Harling, John Leipold, Leo Shuken - Stagecoach","George E. Stoll, Roger Edens - Babes in Arms, Charles Previn - First Love, Phil Boutelje, Arthur Lange - The Great Victor Herbert, Alfred Newman - The Hunchback of Notre Dame, Lou Forbes - Intermezzo, Dimitri Tiomkin - Mr. Smith Goes to Washington, Aaron Copland - Of Mice and Men, Erich Wolfgang Korngold - The Private Lives of Elizabeth and Essex, Cy Feuer - She Married a Cop, Louis Silvers - Swanee River, Alfred Newman - They Shall Have Music, Victor Young - Way Down South"
"1940","Music (Song)","Over The Rainbow in ""The Wizard of Oz"" Music by Harold Arlen; Lyrics by E. Y. Harburg - The Wizard of Oz","Faithful Forever in ""Gulliver's Travels"" Music by Ralph Rainger; Lyrics by Leo Robin - Gulliver's Travels, I Poured My Heart Into A Song in ""Second Fiddle"" Music and Lyrics by Irving Berlin - Second Fiddle, Wishing in ""Love Affair"" Music and Lyrics by Buddy de Sylva - Love Affair"
"1940","Outstanding Production","Selznick International Pictures - Gone with the Wind","Warner Bros.-First National - Dark Victory, Metro-Goldwyn-Mayer - Goodbye, Mr. Chips, RKO Radio - Love Affair, Columbia - Mr. Smith Goes to Washington, Metro-Goldwyn-Mayer - Ninotchka, Hal Roach (production company) - Of Mice and Men, Walter Wanger (production company) - Stagecoach, Metro-Goldwyn-Mayer - The Wizard of Oz, Samuel Goldwyn Productions - Wuthering Heights"
